Id Cliente,Id Conta Bancária,Data de Emissao,Data de Vencimento,Data da Movimentação,Valor da Movimentação
348,x 14057272557-06,1/18/2018,2/8/2018,2/8/2018,17170
779,x 95230728368-03,1/11/2018,2/8/2018,2/8/2018,"4530,5"
792,x 41541621975-04,1/11/2018,2/8/2018,2/8/2018,"3136,5"
53,x 95230728368-03,2/9/2018,2/9/2018,2/9/2018,"183,56"
196,x 80771218846-00,1/5/2018,2/9/2018,2/9/2018,"28136,57"
79,x 14599123731-03,1/13/2018,2/10/2018,2/10/2018,"18713,37"
297,x 25497925389-08,1/20/2018,2/10/2018,2/10/2018,"19909,09"
424,x 61586581630-06,1/6/2018,2/10/2018,2/10/2018,7412
426,x 29486015020-04,1/6/2018,2/10/2018,2/10/2018,3706
174,x 63718177635-06,1/9/2018,2/13/2018,2/12/2018,"87877,38"
178,x 10641176832-10,2/13/2018,2/13/2018,2/13/2018,"70984,33"
320,x 39315597929-00,1/16/2018,2/13/2018,2/13/2018,"35586,661"
779,x 50292624232-07,1/11/2018,2/15/2018,2/13/2018,"4530,5"
780,x 25455392583-10,1/11/2018,2/15/2018,2/13/2018,6970
105,x 32439935907-10,1/24/2018,2/14/2018,2/14/2018,"4475,04"
105,x 32439935907-10,1/24/2018,2/14/2018,2/14/2018,"122498,41"
105,x 39315597929-00,1/24/2018,2/14/2018,2/14/2018,"13521,8"
178,x 86791017985-09,2/14/2018,2/14/2018,2/14/2018,"161483,85"
178,x 29486015020-04,2/15/2018,2/15/2018,2/15/2018,"138399,04"
178,x 63718177635-06,2/15/2018,2/15/2018,2/15/2018,"103392,18"
196,x 25455392583-10,1/18/2018,2/15/2018,2/15/2018,"27529,6"
348,x 10641176832-10,1/18/2018,2/15/2018,2/15/2018,17170
356,x 10859524552-06,2/15/2018,2/15/2018,2/15/2018,"73915,15"
785,x 80771218846-00,1/11/2018,2/15/2018,2/15/2018,5576
787,x 10641176832-10,1/11/2018,2/15/2018,2/15/2018,"3972,9"
788,x 32439935907-10,1/11/2018,2/8/2018,2/15/2018,"3221,126"
792,x 32439935907-10,1/11/2018,2/15/2018,2/15/2018,"3136,5"
196,x 64252401479-03,1/5/2018,2/16/2018,2/16/2018,"23719,25"
782,x 39315597929-00,1/12/2018,2/16/2018,2/16/2018,5576
79,x 29486015020-04,1/13/2018,2/17/2018,2/17/2018,"20088,43"
165,x 26759470396-10,1/27/2018,2/17/2018,2/17/2018,"13882,39"
178,x 61586581630-06,2/17/2018,2/17/2018,2/17/2018,"19730,22"
178,x 61320183682-00,2/17/2018,2/17/2018,2/17/2018,"148038,97"
297,x 32439935907-10,1/20/2018,2/17/2018,2/17/2018,"19935,13"
424,x 86791017985-09,1/6/2018,2/17/2018,2/17/2018,7412
426,x 64252401479-03,1/6/2018,2/17/2018,2/17/2018,3706
736,x 41541621975-04,1/27/2018,2/17/2018,2/17/2018,"11822,361"
783,x 14057272557-06,2/17/2018,2/17/2018,2/17/2018,8500
785,x 10859524552-06,1/11/2018,2/8/2018,2/17/2018,"5737,704"
246,x 25497925389-08,2/3/2018,2/20/2018,2/20/2018,"7068,27"
320,x 63718177635-06,1/16/2018,2/20/2018,2/20/2018,"35586,661"
777,x 57767778949-09,2/10/2018,3/17/2018,2/20/2018,"4530,5"
788,x 10859524552-06,1/11/2018,2/15/2018,2/20/2018,"3214,87"
788,x 64252401479-03,2/20/2018,2/20/2018,2/20/2018,7667
79,x 39315597929-00,1/31/2018,2/21/2018,2/21/2018,"22169,61"
174,x 63718177635-06,1/12/2018,2/22/2018,2/22/2018,"962,1"
174,x 63718177635-06,1/12/2018,2/22/2018,2/22/2018,"85596,63"
178,x 14057272557-06,2/22/2018,2/22/2018,2/22/2018,"53163,76"
196,x 25455392583-10,1/18/2018,2/22/2018,2/22/2018,"26489,33"
246,x 29486015020-04,2/3/2018,2/23/2018,2/22/2018,"9073,24"
348,x 61586581630-06,1/18/2018,2/22/2018,2/22/2018,17170
770,x 25497925389-08,1/25/2018,2/22/2018,2/22/2018,3485
779,x 29486015020-04,1/25/2018,2/22/2018,2/22/2018,4182
780,x 95230728368-03,1/25/2018,2/22/2018,2/22/2018,"5924,5"
792,x 22208151256-06,1/25/2018,2/22/2018,2/22/2018,4182
175,x 10859524552-06,1/12/2018,2/23/2018,2/23/2018,"182281,2"
79,x 10859524552-06,1/13/2018,2/24/2018,2/24/2018,"19280,69"
165,x 61320183682-00,1/27/2018,2/24/2018,2/24/2018,"13900,55"
178,x 61320183682-00,2/24/2018,2/24/2018,2/24/2018,"173313,98"
178,x 95230728368-03,2/24/2018,2/24/2018,2/24/2018,"84835,95"
178,x 22208151256-06,2/24/2018,2/24/2018,2/24/2018,"5581,66"
196,x 39315597929-00,1/5/2018,2/23/2018,2/24/2018,"24473,54"
297,x 29486015020-04,1/20/2018,2/24/2018,2/24/2018,19550
424,x 57767778949-09,1/6/2018,2/24/2018,2/24/2018,7412
426,x 50292624232-07,1/6/2018,2/24/2018,2/24/2018,3706
736,x 29486015020-04,1/27/2018,2/24/2018,2/24/2018,"11822,361"
780,x 77167377617-02,1/25/2018,3/1/2018,2/24/2018,"5924,5"
788,x 95230728368-03,1/25/2018,2/22/2018,2/24/2018,"3205,486"
79,x 61320183682-00,1/31/2018,2/28/2018,3/1/2018,"20848,56"
105,x 95230728368-03,2/6/2018,2/27/2018,3/1/2018,"67233,29"
196,x 64252401479-03,2/7/2018,2/28/2018,3/1/2018,"30338,94"
246,x 61320183682-00,2/3/2018,2/28/2018,3/1/2018,"7513,07"
285,x 22208151256-06,1/31/2018,2/28/2018,3/1/2018,"5484,04"
286,x 86791017985-09,1/31/2018,2/28/2018,3/1/2018,"18778,9"
320,x 14057272557-06,1/16/2018,2/27/2018,3/1/2018,"35586,678"
348,x 10859524552-06,1/18/2018,3/1/2018,3/1/2018,17170
770,x 10859524552-06,1/25/2018,3/1/2018,3/1/2018,3485
779,x 50292624232-07,1/25/2018,3/1/2018,3/1/2018,4182
792,x 41541621975-04,1/25/2018,3/1/2018,3/1/2018,4182
424,x 61586581630-06,1/31/2018,2/28/2018,3/2/2018,4998
178,x 10859524552-06,3/3/2018,3/3/2018,3/3/2018,148512
424,x 61320183682-00,1/6/2018,3/3/2018,3/3/2018,7412
426,x 86791017985-09,1/6/2018,3/3/2018,3/3/2018,3706
788,x 77167377617-02,1/25/2018,3/1/2018,3/3/2018,"3205,486"
175,x 39315597929-00,1/26/2018,3/6/2018,3/6/2018,155690
246,x 41541621975-04,2/3/2018,3/6/2018,3/6/2018,"8463,32"
736,x 64252401479-03,1/27/2018,3/3/2018,3/6/2018,"11822,361"
79,x 10641176832-10,1/31/2018,3/7/2018,3/7/2018,"20237,57"
196,x 64252401479-03,2/7/2018,3/7/2018,3/7/2018,"26409,16"
285,x 25455392583-10,1/31/2018,3/7/2018,3/7/2018,"6067,69"
286,x 61586581630-06,1/31/2018,3/7/2018,3/7/2018,"18979,42"
424,x 75664985359-06,1/31/2018,3/7/2018,3/7/2018,4998
428,x 26759470396-10,1/31/2018,3/7/2018,3/7/2018,"11158,8"
779,x 95230728368-03,2/9/2018,3/9/2018,3/7/2018,"2439,5"
165,x 32439935907-10,1/27/2018,3/3/2018,3/8/2018,"15195,91"
196,x 25455392583-10,1/18/2018,3/8/2018,3/8/2018,"25124,57"
736,x 41541621975-04,2/16/2018,3/9/2018,3/8/2018,25568
107,x 80771218846-00,2/16/2018,3/9/2018,3/9/2018,"4105,76"
174,x 41541621975-04,1/30/2018,3/8/2018,3/9/2018,"76997,82"
777,x 61586581630-06,2/9/2018,3/9/2018,3/9/2018,2788
783,x 14599123731-03,3/9/2018,4/13/2018,3/9/2018,"5924,5"
783,x 10859524552-06,3/9/2018,4/6/2018,3/9/2018,"5924,5"
785,x 57767778949-09,2/9/2018,3/9/2018,3/9/2018,"4321,4"
792,x 80771218846-00,2/9/2018,3/9/2018,3/9/2018,"2439,5"
165,x 39315597929-00,1/27/2018,3/10/2018,3/10/2018,"14324,56"
196,x 10641176832-10,1/18/2018,3/1/2018,3/10/2018,"27543,76"
246,x 10641176832-10,2/3/2018,3/10/2018,3/10/2018,"7289,15"
736,x 22208151256-06,1/27/2018,3/10/2018,3/10/2018,"11822,361"
133,x 86791017985-09,2/13/2018,3/13/2018,3/13/2018,"13845,39"
196,x 75664985359-06,2/7/2018,3/14/2018,3/14/2018,"28020,38"
285,x 75664985359-06,1/31/2018,3/14/2018,3/14/2018,"5378,09"
286,x 29486015020-04,1/31/2018,3/14/2018,3/14/2018,"17146,6"
424,x 50292624232-07,1/31/2018,3/14/2018,3/14/2018,4998
779,x 32439935907-10,2/9/2018,3/16/2018,3/14/2018,"2439,5"
783,x 25497925389-08,2/10/2018,3/10/2018,3/14/2018,"6063,9"
783,x 75664985359-06,2/10/2018,3/17/2018,3/15/2018,"6063,9"
785,x 80771218846-00,2/9/2018,3/16/2018,3/15/2018,"4321,4"
107,x 50292624232-07,2/16/2018,3/16/2018,3/16/2018,"3708,78"
736,x 25497925389-08,2/16/2018,3/16/2018,3/16/2018,25568
777,x 41541621975-04,2/9/2018,3/16/2018,3/16/2018,2788
792,x 61586581630-06,2/9/2018,3/16/2018,3/16/2018,"2439,5"
246,x 80771218846-00,2/3/2018,3/15/2018,3/17/2018,"7980,53"
777,x 64252401479-03,2/10/2018,3/10/2018,3/17/2018,"4652,764"
105,x 32439935907-10,2/25/2018,3/20/2018,3/20/2018,"147313,34"
133,x 57767778949-09,2/13/2018,3/20/2018,3/20/2018,"13552,14"
736,x 41541621975-04,1/27/2018,3/17/2018,3/20/2018,"11822,361"
780,x 61586581630-06,2/22/2018,3/23/2018,3/20/2018,8364
96,x 64252401479-03,2/28/2018,3/21/2018,3/21/2018,"13555,12"
165,x 10859524552-06,1/27/2018,3/17/2018,3/21/2018,"14315,69"
196,x 25455392583-10,2/7/2018,3/21/2018,3/21/2018,"25889,23"
246,x 61586581630-06,2/3/2018,3/20/2018,3/21/2018,"7970,02"
424,x 61320183682-00,1/31/2018,3/21/2018,3/21/2018,4998
107,x 10859524552-06,2/16/2018,3/23/2018,3/22/2018,"4023,48"
779,x 77167377617-02,2/22/2018,3/30/2018,3/22/2018,"2439,5"
779,x 95230728368-03,2/22/2018,3/23/2018,3/22/2018,"2439,5"
789,x 25497925389-08,2/22/2018,3/23/2018,3/23/2018,3485
792,x 61586581630-06,2/22/2018,3/23/2018,3/23/2018,"2927,4"
783,x 94994947160-08,2/22/2018,3/23/2018,3/24/2018,"2490,738"
133,x 25497925389-08,2/13/2018,3/27/2018,3/27/2018,"12762,7"
174,x 77167377617-02,2/17/2018,3/24/2018,3/27/2018,"152806,49"
246,x 26759470396-10,3/8/2018,3/23/2018,3/27/2018,"8865,03"
777,x 64252401479-03,2/22/2018,3/23/2018,3/27/2018,"2854,912"
780,x 95230728368-03,2/22/2018,3/30/2018,3/27/2018,8364
96,x 75664985359-06,2/28/2018,3/28/2018,3/28/2018,"12398,36"
133,x 22208151256-06,2/28/2018,3/28/2018,3/28/2018,"11700,69"
175,x 80771218846-00,2/17/2018,3/24/2018,3/28/2018,"182626,3"
196,x 86791017985-09,2/7/2018,3/28/2018,3/28/2018,"27209,43"
320,x 26759470396-10,2/28/2018,3/28/2018,3/28/2018,"28333,339"
424,x 63718177635-06,1/31/2018,3/28/2018,3/28/2018,4998
105,x 39315597929-00,3/8/2018,3/29/2018,3/29/2018,"142597,75"
736,x 75664985359-06,1/27/2018,3/24/2018,3/29/2018,"11822,395"
246,x 61586581630-06,2/3/2018,3/27/2018,3/30/2018,"8388,66"
246,x 94994947160-08,3/10/2018,3/27/2018,3/30/2018,"3130,05"
777,x 61586581630-06,2/22/2018,3/30/2018,3/30/2018,2788
789,x 22208151256-06,2/22/2018,3/30/2018,3/30/2018,3485
792,x 25497925389-08,2/22/2018,3/30/2018,3/30/2018,"2927,4"
246,x 10641176832-10,3/10/2018,3/30/2018,3/31/2018,"3950,53"
736,x 61586581630-06,2/16/2018,3/23/2018,3/31/2018,25568
105,x 39315597929-00,3/13/2018,4/3/2018,4/3/2018,"66633,33"
246,x 14057272557-06,2/3/2018,3/30/2018,4/3/2018,"8066,67"
246,x 95230728368-03,3/8/2018,3/28/2018,4/3/2018,"8862,54"
783,x 29486015020-04,2/22/2018,3/30/2018,4/3/2018,"2498,082"
96,x 94994947160-08,2/28/2018,4/4/2018,4/4/2018,"12651,44"
133,x 26759470396-10,2/28/2018,4/4/2018,4/4/2018,"14162,95"
175,x 94994947160-08,2/28/2018,4/4/2018,4/4/2018,"163864,42"
320,x 10859524552-06,2/28/2018,4/4/2018,4/4/2018,"28333,339"
79,x 10641176832-10,3/16/2018,4/6/2018,4/6/2018,"13194,71"
105,x 50292624232-07,3/16/2018,4/6/2018,4/6/2018,"141727,44"
348,x 25497925389-08,3/16/2018,4/6/2018,4/6/2018,"16059,475"
780,x 64252401479-03,3/9/2018,4/6/2018,4/6/2018,"5924,5"
785,x 61586581630-06,3/9/2018,4/6/2018,4/6/2018,4879
787,x 29486015020-04,3/9/2018,4/6/2018,4/6/2018,"3833,5"
792,x 94994947160-08,3/9/2018,4/6/2018,4/6/2018,"2439,5"
736,x 14599123731-03,2/16/2018,3/30/2018,4/7/2018,25568
246,x 50292624232-07,3/8/2018,4/3/2018,4/10/2018,"7789,11"
246,x 61320183682-00,3/10/2018,4/4/2018,4/10/2018,"3643,91"
285,x 61320183682-00,3/13/2018,4/10/2018,4/10/2018,"11999,76"
286,x 95230728368-03,3/13/2018,4/10/2018,4/10/2018,"22837,46"
788,x 80771218846-00,3/9/2018,4/6/2018,4/10/2018,"3568,64"
53,x 80771218846-00,4/11/2018,4/11/2018,4/11/2018,"48497,91"
96,x 57767778949-09,2/28/2018,4/11/2018,4/11/2018,"13850,97"
133,x 75664985359-06,2/28/2018,4/11/2018,4/11/2018,"12706,76"
174,x 63718177635-06,3/7/2018,4/11/2018,4/11/2018,"49758,09"
175,x 95230728368-03,3/7/2018,4/11/2018,4/11/2018,"168527,94"
320,x 63718177635-06,2/28/2018,4/11/2018,4/11/2018,"28333,22"
53,x 32439935907-10,4/12/2018,4/12/2018,4/12/2018,"50343,85"
246,x 57767778949-09,3/10/2018,4/10/2018,4/12/2018,"3330,51"
780,x 57767778949-09,3/9/2018,4/13/2018,4/12/2018,"5924,5"
785,x 77167377617-02,3/9/2018,4/13/2018,4/12/2018,4879
79,x 63718177635-06,3/16/2018,4/13/2018,4/13/2018,"13862,06"
174,x 32439935907-10,3/9/2018,4/13/2018,4/13/2018,"63163,03"
348,x 86791017985-09,3/16/2018,4/13/2018,4/13/2018,"16059,475"
736,x 10859524552-06,2/16/2018,4/6/2018,4/13/2018,25568
787,x 14057272557-06,3/9/2018,4/13/2018,4/13/2018,"3833,5"
792,x 86791017985-09,3/9/2018,4/13/2018,4/13/2018,"2439,5"
196,x 29486015020-04,3/17/2018,4/17/2018,4/17/2018,"27820,37"
285,x 26759470396-10,3/13/2018,4/17/2018,4/17/2018,"10126,17"
286,x 25497925389-08,3/13/2018,4/17/2018,4/17/2018,"23511,04"
356,x 25455392583-10,4/11/2018,4/11/2018,4/17/2018,"73907,5"
779,x 32439935907-10,3/24/2018,4/24/2018,4/17/2018,"5227,5"
788,x 61586581630-06,3/9/2018,4/13/2018,4/17/2018,"3568,64"
105,x 10641176832-10,3/28/2018,4/18/2018,4/18/2018,"154820,51"
246,x 32439935907-10,3/10/2018,4/19/2018,4/19/2018,"3606,94"
246,x 77167377617-02,3/10/2018,4/17/2018,4/19/2018,"3756,99"
779,x 95230728368-03,3/24/2018,4/28/2018,4/19/2018,"5227,5"
79,x 14599123731-03,3/16/2018,4/20/2018,4/20/2018,"13323,91"
246,x 32439935907-10,3/8/2018,4/17/2018,4/20/2018,"8014,1"
348,x 10641176832-10,3/16/2018,4/20/2018,4/20/2018,"16059,475"
196,x 10859524552-06,3/17/2018,4/24/2018,4/24/2018,"33631,54"
246,x 32439935907-10,3/8/2018,4/24/2018,4/24/2018,"7868,59"
246,x 50292624232-07,3/8/2018,4/7/2018,4/24/2018,"8185,84"
285,x 61586581630-06,3/13/2018,4/24/2018,4/24/2018,"10443,75"
286,x 41541621975-04,3/13/2018,4/24/2018,4/24/2018,"20867,31"
777,x 50292624232-07,3/24/2018,4/24/2018,4/24/2018,2788
789,x 10641176832-10,3/25/2018,4/24/2018,4/24/2018,3485
792,x 64252401479-03,3/24/2018,4/24/2018,4/24/2018,"2439,5"
165,x 80771218846-00,3/20/2018,4/24/2018,4/25/2018,"5893,98"
165,x 10641176832-10,3/24/2018,4/17/2018,4/25/2018,"8897,11"
165,x 14599123731-03,3/24/2018,4/24/2018,4/25/2018,"8718,31"
246,x 77167377617-02,3/10/2018,4/24/2018,4/25/2018,"3539,76"
458,x 95230728368-03,3/31/2018,4/28/2018,4/25/2018,6324
174,x 57767778949-09,3/22/2018,4/26/2018,4/26/2018,"59370,45"
174,x 77167377617-02,3/23/2018,4/27/2018,4/27/2018,"9028,47"
348,x 64252401479-03,3/16/2018,4/27/2018,4/27/2018,"16059,475"
105,x 14599123731-03,4/7/2018,4/28/2018,4/28/2018,"155430,18"
165,x 41541621975-04,3/24/2018,4/28/2018,4/28/2018,"9354,02"
792,x 26759470396-10,3/24/2018,4/28/2018,4/28/2018,"2439,5"
246,x 95230728368-03,3/8/2018,4/12/2018,5/1/2018,"8438,04"
246,x 10641176832-10,3/8/2018,4/27/2018,5/1/2018,"8347,84"
178,x 61586581630-06,5/2/2018,5/2/2018,5/2/2018,"142330,24"
196,x 86791017985-09,3/17/2018,4/28/2018,5/2/2018,"29846,86"
196,x 29486015020-04,3/31/2018,5/2/2018,5/2/2018,"17395,68"
246,x 25497925389-08,3/10/2018,5/2/2018,5/2/2018,"3714,44"
789,x 61586581630-06,3/25/2018,5/2/2018,5/2/2018,3485
791,x 39315597929-00,3/24/2018,4/24/2018,5/2/2018,"3582,58"
79,x 57767778949-09,4/12/2018,5/3/2018,5/3/2018,"14229,71"
165,x 25497925389-08,3/20/2018,4/17/2018,5/3/2018,"5495,17"
178,x 77167377617-02,5/3/2018,5/3/2018,5/3/2018,"165204,74"
777,x 50292624232-07,3/24/2018,4/28/2018,5/3/2018,"2857,7"
174,x 95230728368-03,3/30/2018,5/4/2018,5/4/2018,"31085,64"
174,x 50292624232-07,4/30/2018,5/2/2018,5/4/2018,"83,23"
246,x 63718177635-06,3/8/2018,5/2/2018,5/4/2018,"7946,53"
196,x 14599123731-03,3/17/2018,5/5/2018,5/5/2018,"29272,89"
458,x 57767778949-09,3/31/2018,5/5/2018,5/5/2018,6324
46,x 25455392583-10,4/5/2018,5/5/2018,5/8/2018,"742,48"
777,x 95230728368-03,4/7/2018,5/8/2018,5/8/2018,"5157,8"
783,x 32439935907-10,4/7/2018,5/8/2018,5/8/2018,"2439,5"
787,x 14057272557-06,4/7/2018,5/8/2018,5/8/2018,"3275,9"
791,x 57767778949-09,3/24/2018,4/28/2018,5/8/2018,"3589,55"
792,x 25497925389-08,4/7/2018,5/8/2018,5/8/2018,2788
246,x 57767778949-09,3/10/2018,5/9/2018,5/9/2018,"3715,14"
79,x 10641176832-10,4/12/2018,5/10/2018,5/10/2018,"12365,96"
174,x 77167377617-02,4/5/2018,5/10/2018,5/10/2018,"47788,02"
174,x 10641176832-10,4/5/2018,5/10/2018,5/10/2018,"45512,4"
246,x 50292624232-07,3/10/2018,5/4/2018,5/10/2018,"3431,82"
785,x 80771218846-00,4/7/2018,5/8/2018,5/10/2018,4879
458,x 14599123731-03,3/31/2018,5/12/2018,5/11/2018,6324
783,x 61586581630-06,4/7/2018,5/15/2018,5/15/2018,"2439,5"
785,x 29486015020-04,4/7/2018,5/15/2018,5/15/2018,4879
787,x 25455392583-10,4/7/2018,5/15/2018,5/15/2018,"3275,9"
792,x 10859524552-06,4/7/2018,5/15/2018,5/15/2018,2788
165,x 95230728368-03,3/24/2018,5/5/2018,5/16/2018,"9830,69"
174,x 86791017985-09,4/11/2018,5/16/2018,5/16/2018,"78508,58"
458,x 80771218846-00,3/31/2018,5/19/2018,5/16/2018,6324
458,x 61586581630-06,4/20/2018,5/18/2018,5/16/2018,"5691,6"
788,x 75664985359-06,4/7/2018,5/8/2018,5/16/2018,"2866,064"
53,x 75664985359-06,5/17/2018,5/17/2018,5/17/2018,"64248,76"
79,x 95230728368-03,4/12/2018,5/17/2018,5/17/2018,"13411,49"
175,x 80771218846-00,4/12/2018,5/17/2018,5/17/2018,"173967,88"
105,x 63718177635-06,4/26/2018,5/17/2018,5/18/2018,"158313,86"
165,x 86791017985-09,3/20/2018,5/2/2018,5/18/2018,"5602,92"
79,x 95230728368-03,4/28/2018,5/19/2018,5/19/2018,"20585,45"
356,x 61586581630-06,5/19/2018,5/19/2018,5/19/2018,"73907,5"
788,x 80771218846-00,4/7/2018,5/15/2018,5/22/2018,"2863,276"
320,x 63718177635-06,4/24/2018,5/22/2018,5/23/2018,14960
779,x 86791017985-09,4/25/2018,5/23/2018,5/23/2018,"4530,5"
780,x 41541621975-04,4/25/2018,5/23/2018,5/23/2018,8364
789,x 29486015020-04,4/25/2018,5/23/2018,5/23/2018,"3136,5"
792,x 61586581630-06,4/25/2018,5/23/2018,5/23/2018,2788
165,x 25455392583-10,3/24/2018,5/12/2018,5/24/2018,"8803,68"
458,x 77167377617-02,3/31/2018,5/26/2018,5/24/2018,6324
458,x 39315597929-00,4/20/2018,5/25/2018,5/24/2018,"5691,6"
174,x 64252401479-03,4/20/2018,5/25/2018,5/25/2018,"92126,63"
779,x 57767778949-09,4/25/2018,5/30/2018,5/25/2018,"4530,5"
133,x 64252401479-03,4/28/2018,5/26/2018,5/26/2018,"11028,96"
165,x 57767778949-09,3/20/2018,5/8/2018,5/26/2018,"5775,6"
458,x 61586581630-06,4/20/2018,6/1/2018,5/26/2018,"5691,6"
79,x 94994947160-08,4/28/2018,5/26/2018,5/29/2018,"19194,43"
780,x 25497925389-08,4/25/2018,5/30/2018,5/29/2018,8364
788,x 14057272557-06,4/25/2018,5/23/2018,5/29/2018,"3217,998"
320,x 25497925389-08,4/24/2018,5/29/2018,5/30/2018,14960
792,x 41541621975-04,4/25/2018,5/30/2018,5/30/2018,2788
178,x 75664985359-06,5/31/2018,5/31/2018,5/31/2018,"138511,1"
246,x 10641176832-10,5/11/2018,5/26/2018,5/31/2018,"6213,05"
285,x 77167377617-02,5/3/2018,5/31/2018,5/31/2018,"10391,57"
286,x 63718177635-06,5/3/2018,5/31/2018,5/31/2018,"22291,73"
96,x 75664985359-06,5/10/2018,5/31/2018,6/1/2018,"12454,02"
79,x 22208151256-06,4/28/2018,6/2/2018,6/2/2018,"20369,6"
133,x 39315597929-00,4/28/2018,6/2/2018,6/2/2018,"11477,74"
246,x 61320183682-00,5/11/2018,5/31/2018,6/2/2018,"6320,38"
458,x 10641176832-10,4/20/2018,6/8/2018,6/2/2018,"5691,6"
174,x 86791017985-09,4/30/2018,6/5/2018,6/5/2018,"127153,8"
320,x 14599123731-03,4/24/2018,6/5/2018,6/5/2018,14960
779,x 75664985359-06,5/8/2018,6/13/2018,6/5/2018,"3833,5"
779,x 63718177635-06,5/8/2018,6/6/2018,6/5/2018,"3833,5"
789,x 77167377617-02,4/25/2018,5/30/2018,6/5/2018,"3217,998"
770,x 14599123731-03,4/7/2018,5/8/2018,6/6/2018,"4752,248"
780,x 32439935907-10,5/8/2018,6/6/2018,6/6/2018,"2439,5"
785,x 57767778949-09,5/8/2018,6/6/2018,6/6/2018,"3833,5"
787,x 63718177635-06,5/8/2018,6/6/2018,6/6/2018,"2718,3"
792,x 41541621975-04,5/8/2018,6/6/2018,6/6/2018,"3972,9"
96,x 64252401479-03,5/10/2018,6/7/2018,6/7/2018,"13064,16"
105,x 95230728368-03,5/17/2018,6/7/2018,6/7/2018,"87480,99"
788,x 25455392583-10,4/25/2018,5/30/2018,6/7/2018,"3224,254"
246,x 32439935907-10,5/11/2018,6/5/2018,6/8/2018,"5845,44"
285,x 26759470396-10,5/3/2018,6/7/2018,6/8/2018,"9492,3"
286,x 50292624232-07,5/3/2018,6/7/2018,6/8/2018,"24381,58"
133,x 25497925389-08,4/28/2018,6/9/2018,6/9/2018,"10914,08"
174,x 22208151256-06,5/5/2018,6/9/2018,6/9/2018,"141523,61"
178,x 61586581630-06,6/9/2018,6/9/2018,6/9/2018,"83109,6"
175,x 14599123731-03,5/8/2018,6/12/2018,6/12/2018,"186446,2"
196,x 41541621975-04,3/31/2018,6/12/2018,6/12/2018,"15725,24"
246,x 63718177635-06,5/11/2018,6/12/2018,6/12/2018,"6081,9"
780,x 22208151256-06,5/8/2018,6/13/2018,6/12/2018,"2439,5"
